Num,WriteT,WriteV,ReadT,ReadV,
1026,26,78769,36357,56,
1028,27,75851,35307,58,
1030,38,53894,52868,38,
1032,26,78769,54863,37,
1034,26,78769,61912,33,
1036,26,78769,51264,39,
1038,25,81920,35934,56,
1040,37,55351,81988,24,
1042,25,81920,53648,38,
1044,25,81920,58891,34,
1046,27,75851,58116,35,
1048,40,51200,54739,37,
1050,25,81920,53697,38,
1052,27,75851,37193,55,
1054,27,75851,37520,54,
1056,26,78769,38755,52,
1058,38,53894,78826,25,
1060,25,81920,56514,36,
1062,26,78769,37502,54,
1064,25,81920,38345,53,
1066,26,78769,37640,54,
1068,40,51200,55646,36,
1070,27,75851,50550,40,
1072,27,75851,42634,48,
1074,27,75851,37160,55,
1076,27,75851,57314,35,
1078,39,52512,80932,25,
1080,38,53894,76442,26,
1082,27,75851,45668,44,
1084,28,73142,39134,52,
1086,40,51200,67989,30,
1088,28,73142,43442,47,
1090,27,75851,55883,36,
1092,27,75851,40226,50,
1094,27,75851,52092,39,
1096,40,51200,76335,26,
1098,27,75851,43087,47,
1100,27,75851,68002,30,
1102,41,49951,61549,33,
1104,27,75851,54044,37,
1106,41,49951,64930,31,
1108,41,49951,-825344,-2,
1110,40,51200,76447,26,
1112,27,75851,50720,40,
1114,41,49951,61283,33,
1116,28,73142,44513,46,
1118,143,14321,42554,48,
1120,28,73142,43807,46,
1122,28,73142,71606,28,
1124,41,49951,69623,29,
1126,28,73142,49143,41,
1128,28,73142,70341,29,
1130,28,73142,54575,37,
1132,29,70620,46126,44,
1134,41,49951,62859,32,
1136,41,49951,46229,44,
1138,28,73142,40701,50,
1140,48,42666,-858459,-2,
1142,41,49951,93208,21,
1144,42,48761,57092,35,
1146,28,73142,51555,39,
1148,41,49951,46188,44,
1150,28,73142,45374,45,
1152,42,48761,78385,26,
1154,28,73142,58502,35,
1156,28,73142,60072,34,
1158,29,70620,47494,43,
1160,29,70620,74687,27,
1162,42,48761,88246,23,
1164,28,73142,74042,27,
1166,29,70620,-840424,-2,
1168,28,73142,44602,45,
1170,44,46545,84186,24,
1172,28,73142,62573,32,
1174,29,70620,59109,34,
1176,29,70620,45262,45,
1178,29,70620,41685,49,
1180,64,32000,86528,23,
1182,29,70620,61422,33,
1184,29,70620,85453,23,
1186,29,70620,44980,45,
1188,30,68266,47446,43,
1190,44,46545,85928,23,
1192,29,70620,50169,40,
1194,29,70620,-829599,-2,
1196,29,70620,47201,43,
1198,43,47627,65492,31,
1200,29,70620,64383,31,
1202,30,68266,60662,33,
1204,29,70620,48670,42,
1206,29,70620,69519,29,
1208,44,46545,91705,22,
1210,43,47627,60359,33,
1212,29,70620,64339,31,
1214,31,66064,79292,25,
1216,30,68266,73840,27,
1218,44,46545,59717,34,
1220,30,68266,45675,44,
1222,30,68266,-853393,-2,
1224,43,47627,71000,28,
1226,45,45511,87674,23,
1228,30,68266,40937,50,
1230,30,68266,81109,25,
1232,31,66064,68251,30,
1234,30,68266,48503,42,
1236,45,45511,92506,22,
1238,31,66064,74069,27,
1240,30,68266,66228,30,
1242,31,66064,47683,42,
1244,32,64000,51153,40,
1246,45,45511,103208,19,
1248,31,66064,-836474,-2,
1250,30,68266,63422,32,
1252,31,66064,67976,30,
1254,46,44521,89458,22,
1256,45,45511,53158,38,
1258,30,68266,63639,32,
1260,31,66064,82513,24,
1262,30,68266,70102,29,
1264,46,44521,92408,22,
1266,32,64000,47754,42,
1268,30,68266,58095,35,
1270,31,66064,70389,29,
1272,46,44521,71263,28,
1274,31,66064,66941,30,
1276,31,66064,68605,29,
1278,31,66064,87463,23,
1280,32,64000,72495,28,
1282,47,43574,132820,15,
1284,31,66064,56370,36,
1286,31,66064,65744,31,
1288,31,66064,50717,40,
1290,31,66064,47416,43,
1292,47,43574,100734,20,
1294,31,66064,52918,38,
1296,31,66064,59140,34,
1298,32,64000,-849614,-2,
1300,46,44521,91962,22,
1302,31,66064,59279,34,
1304,50,40960,73380,27,
1306,32,64000,67675,30,
1308,33,62060,72554,28,
1310,47,43574,91036,22,
1312,31,66064,65179,31,
1314,32,64000,73974,27,
1316,32,64000,62618,32,
1318,32,64000,71659,28,
1320,48,42666,103678,19,
1322,32,64000,-855152,-2,
1324,32,64000,49961,40,
1326,32,64000,59232,34,
1328,48,42666,72615,28,
1330,33,62060,82031,24,
1332,32,64000,57605,35,
1334,32,64000,84690,24,
1336,33,62060,84360,24,
1338,48,42666,117456,17,
1340,32,64000,83686,24,
1342,32,64000,84718,24,
1344,32,64000,67411,30,
1346,50,40960,-830468,-2,
1348,34,60235,78159,26,
